DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2018,164,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2019,185,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2020,181,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2021,196,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2022,211,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2023,217,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2014,1332,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2015,1235,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2016,1280,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2017,1268,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2018,1197,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2019,1246,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2020,1280,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2021,1421,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2022,1413,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Hungary,2023,1462,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2014,120,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2015,115,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2016,94,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2017,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2018,166,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2019,181,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2020,151,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2021,146,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2022,204,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Ireland,2023,231,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2014,3,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2015,8,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2016,7,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2017,11,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2018,8,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2019,12,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2020,8,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2021,12,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2022,12,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Iceland,2023,13,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2014,2304,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2015,2107,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2016,2285,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2017,2421,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2018,2576,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2019,2663,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2020,2255,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2021,2237,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2022,2365,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Italy,2023,2541,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2014,4,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2015,3,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2016,4,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2017,4,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2018,2,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2019,2,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2020,3,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2021,5,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2022,2,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Liechtenstein,2023,2,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2014,377,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2015,295,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2016,321,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2017,330,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2018,301,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2019,287,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2020,252,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2021,216,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2022,212,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Lithuania,2023,206,,
