Age class,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,area_km2,population_year, Total ,PerHundred,Gender_index,is_eu_avg
Total,Males,HRV,Croatia,2016,56594,4106867,2985,72.68,0.7,0
Total,Total,HRV,Croatia,2016,56594,4106867,3108,75.68,0.7,0
Total,Females,CYP,Cyprus,2021,9251,1317309,77,5.85,0.707,0
Total,Males,CYP,Cyprus,2021,9251,1317309,718,54.51,0.707,0
Total,Total,CYP,Cyprus,2021,9251,1317309,795,60.35,0.707,0
Total,Females,CYP,Cyprus,2022,9251,1331370,61,4.58,0.696,0
Total,Males,CYP,Cyprus,2022,9251,1331370,897,67.37,0.696,0
Total,Total,CYP,Cyprus,2022,9251,1331370,958,71.96,0.696,0
Total,Females,CYP,Cyprus,2020,9251,1302247,30,2.3,0.692,0
Total,Males,CYP,Cyprus,2020,9251,1302247,571,43.85,0.692,0
Total,Total,CYP,Cyprus,2020,9251,1302247,601,46.15,0.692,0
Total,Females,CYP,Cyprus,2019,9251,1286671,34,2.64,0.688,0
Total,Males,CYP,Cyprus,2019,9251,1286671,725,56.35,0.688,0
Total,Total,CYP,Cyprus,2019,9251,1286671,759,58.99,0.688,0
Total,Females,CYP,Cyprus,2016,9251,1237112,41,3.31,0.684,0
Total,Females,CYP,Cyprus,2017,9251,1254275,34,2.71,0.684,0
Total,Females,CYP,Cyprus,2018,9251,1270737,36,2.83,0.684,0
Total,Males,CYP,Cyprus,2016,9251,1237112,545,44.05,0.684,0
Total,Males,CYP,Cyprus,2017,9251,1254275,558,44.49,0.684,0
Total,Males,CYP,Cyprus,2018,9251,1270737,583,45.88,0.684,0
Total,Total,CYP,Cyprus,2016,9251,1237112,586,47.37,0.684,0
Total,Total,CYP,Cyprus,2017,9251,1254275,592,47.2,0.684,0
Total,Total,CYP,Cyprus,2018,9251,1270737,619,48.71,0.684,0
Total,Females,CYP,Cyprus,2023,9251,1344976,58,4.31,0.678,0
Total,Males,CYP,Cyprus,2023,9251,1344976,901,66.99,0.678,0
Total,Total,CYP,Cyprus,2023,9251,1344976,959,71.3,0.678,0
Total,Females,CYP,Cyprus,2014,9251,1201801,30,2.5,0.6741,0
Total,Males,CYP,Cyprus,2014,9251,1201801,502,41.77,0.6741,0
Total,Total,CYP,Cyprus,2014,9251,1201801,532,44.27,0.6741,0
Total,Females,CYP,Cyprus,2015,9251,1219502,32,2.62,0.671,0
Total,Males,CYP,Cyprus,2015,9251,1219502,515,42.23,0.671,0
Total,Total,CYP,Cyprus,2015,9251,1219502,547,44.85,0.671,0
Total,Females,CZE,Czechia,2021,78871,10505772,1519,14.46,0.711,0
Total,Males,CZE,Czechia,2021,78871,10505772,17229,164.0,0.711,0
Total,Total,CZE,Czechia,2021,78871,10505772,18748,178.45,0.711,0
Total,Females,CZE,Czechia,2022,78871,10672118,1613,15.11,0.71,0
Total,Males,CZE,Czechia,2022,78871,10672118,17439,163.41,0.71,0
Total,Total,CZE,Czechia,2022,78871,10672118,19052,178.52,0.71,0
Total,Females,CZE,Czechia,2020,78871,10697858,1564,14.62,0.706,0
Total,Males,CZE,Czechia,2020,78871,10697858,17637,164.86,0.706,0
Total,Total,CZE,Czechia,2020,78871,10697858,19286,180.28,0.706,0
Total,Females,CZE,Czechia,2019,78871,10671870,1740,16.3,0.6995,0
Total,Males,CZE,Czechia,2019,78871,10671870,19247,180.35,0.6995,0
Total,Total,CZE,Czechia,2019,78871,10671870,21048,197.23,0.6995,0
Total,Females,CZE,Czechia,2018,78871,10629928,1644,15.47,0.693,0
Total,Males,CZE,Czechia,2018,78871,10629928,19933,187.52,0.693,0
Total,Total,CZE,Czechia,2018,78871,10629928,21577,202.98,0.693,0
Total,Females,CZE,Czechia,2016,78871,10566332,1643,15.55,0.69,0
Total,Males,CZE,Czechia,2016,78871,10566332,20838,197.21,0.69,0
Total,Total,CZE,Czechia,2016,78871,10566332,22481,212.76,0.69,0
Total,Females,CZE,Czechia,2017,78871,10594438,1638,15.46,0.688,0
Total,Males,CZE,Czechia,2017,78871,10594438,20442,192.95,0.688,0
Total,Total,CZE,Czechia,2017,78871,10594438,22159,209.16,0.688,0
Total,Females,CZE,Czechia,2015,78871,10546059,1433,13.59,0.687,0
Total,Males,CZE,Czechia,2015,78871,10546059,19433,184.27,0.687,0
Total,Total,CZE,Czechia,2015,78871,10546059,20866,197.86,0.687,0
Total,Females,CZE,Czechia,2023,78871,10864042,1715,15.79,0.685,0
Total,Males,CZE,Czechia,2023,78871,10864042,17854,164.34,0.685,0
Total,Total,CZE,Czechia,2023,78871,10864042,19569,180.13,0.685,0
Total,Females,CZE,Czechia,2014,78871,10525347,1170,11.12,0.6737,0
Total,Males,CZE,Czechia,2014,78871,10525347,17488,166.15,0.6737,0
Total,Total,CZE,Czechia,2014,78871,10525347,18658,177.27,0.6737,0
Total,Females,DNK,Denmark,2014,42952,5643475,145,2.57,0.8025,0
Total,Males,DNK,Denmark,2014,42952,5643475,3438,60.92,0.8025,0
Total,Total,DNK,Denmark,2014,42952,5643475,3583,63.49,0.8025,0
Total,Females,DNK,Denmark,2020,42952,5831404,189,3.24,0.782,0
Total,Males,DNK,Denmark,2020,42952,5831404,3977,68.2,0.782,0
Total,Total,DNK,Denmark,2020,42952,5831404,4166,71.44,0.782,0
Total,Females,DNK,Denmark,2019,42952,5814422,182,3.13,0.78,0
Total,Females,DNK,Denmark,2023,42952,5946952,211,3.55,0.78,0
Total,Males,DNK,Denmark,2019,42952,5814422,3738,64.29,0.78,0
Total,Males,DNK,Denmark,2023,42952,5946952,3943,66.3,0.78,0
Total,Total,DNK,Denmark,2019,42952,5814422,3920,67.42,0.78,0
Total,Total,DNK,Denmark,2023,42952,5946952,4154,69.85,0.78,0
Total,Females,DNK,Denmark,2018,42952,5793636,132,2.28,0.778,0
Total,Males,DNK,Denmark,2018,42952,5793636,3503,60.46,0.778,0
Total,Total,DNK,Denmark,2018,42952,5793636,3635,62.74,0.778,0
Total,Females,DNK,Denmark,2017,42952,5764980,136,2.36,0.776,0
Total,Males,DNK,Denmark,2017,42952,5764980,3282,56.93,0.776,0
Total,Total,DNK,Denmark,2017,42952,5764980,3418,59.29,0.776,0
Total,Females,DNK,Denmark,2021,42952,5856733,186,3.18,0.768,0
Total,Males,DNK,Denmark,2021,42952,5856733,4036,68.91,0.768,0
Total,Total,DNK,Denmark,2021,42952,5856733,4222,72.09,0.768,0
Total,Females,DNK,Denmark,2015,42952,5683483,118,2.08,0.767,0
Total,Males,DNK,Denmark,2015,42952,5683483,3085,54.28,0.767,0
Total,Total,DNK,Denmark,2015,42952,5683483,3203,56.36,0.767,0
Total,Females,DNK,Denmark,2022,42952,5903037,203,3.44,0.764,0
Total,Males,DNK,Denmark,2022,42952,5903037,4005,67.85,0.764,0
Total,Total,DNK,Denmark,2022,42952,5903037,4208,71.29,0.764,0
Total,Females,DNK,Denmark,2016,42952,5728010,150,2.62,0.754,0
Total,Males,DNK,Denmark,2016,42952,5728010,3258,56.88,0.754,0
Total,Total,DNK,Denmark,2016,42952,5728010,3408,59.5,0.754,0
Total,Females,EST,Estonia,2023,45339,1370286,88,6.42,0.782,0
Total,Males,EST,Estonia,2023,45339,1370286,1753,127.93,0.782,0
Total,Total,EST,Estonia,2023,45339,1370286,1841,134.35,0.782,0
Total,Females,EST,Estonia,2020,45339,1329522,97,7.3,0.751,0
Total,Males,EST,Estonia,2020,45339,1329522,2251,169.31,0.751,0
Total,Total,EST,Estonia,2020,45339,1329522,2348,176.6,0.751,0
Total,Females,EST,Estonia,2015,45339,1315407,155,11.78,0.749,0
Total,Males,EST,Estonia,2015,45339,1315407,2668,202.83,0.749,0
Total,Total,EST,Estonia,2015,45339,1315407,2823,214.61,0.749,0
Total,Females,EST,Estonia,2016,45339,1315790,178,13.53,0.747,0
Total,Males,EST,Estonia,2016,45339,1315790,2686,204.14,0.747,0
Total,Total,EST,Estonia,2016,45339,1315790,2864,217.66,0.747,0
Total,Females,EST,Estonia,2019,45339,1326898,112,8.44,0.7424999999999999,0
Total,Males,EST,Estonia,2019,45339,1326898,2375,178.99,0.7424999999999999,0
Total,Total,EST,Estonia,2019,45339,1326898,2487,187.43,0.7424999999999999,0
Total,Females,EST,Estonia,2018,45339,1321977,123,9.3,0.734,0
Total,Males,EST,Estonia,2018,45339,1321977,2461,186.16,0.734,0
Total,Total,EST,Estonia,2018,45339,1321977,2584,195.46,0.734,0
Total,Females,EST,Estonia,2021,45339,1330932,101,7.59,0.733,0
Total,Males,EST,Estonia,2021,45339,1330932,2088,156.88,0.733,0
Total,Total,EST,Estonia,2021,45339,1330932,2189,164.47,0.733,0
Total,Females,EST,Estonia,2022,45339,1348840,102,7.56,0.733,0
Total,Males,EST,Estonia,2022,45339,1348840,1971,146.13,0.733,0
Total,Total,EST,Estonia,2022,45339,1348840,2073,153.69,0.733,0
Total,Females,EST,Estonia,2017,45339,1317384,141,10.7,0.731,0
Total,Males,EST,Estonia,2017,45339,1317384,2582,195.99,0.731,0
Total,Total,EST,Estonia,2017,45339,1317384,2723,206.7,0.731,0
Total,Total,EST,Estonia,2014,45339,1314545,2973,226.16,0.7017,0
Total,Males,EST,Estonia,2014,45339,1314545,2812,213.91,0.7017,0
Total,Females,EST,Estonia,2014,45339,1314545,161,12.24,0.7017,0
Total,Total,EU,EU Average,2023,10530000,448897545,498860,3081.24,0.7531851851851852,1
Total,Total,EU,EU Average,2022,10530000,447202673,483593,3075.02,0.7531111111111111,1
Total,Total,EU,EU Average,2021,10530000,446227358,475413,3029.64,0.7528888888888888,1
Total,Females,EU,EU Average,2022,10530000,364024860,22313,177.12,0.7512692307692308,1
Total,Males,EU,EU Average,2022,10530000,364024860,403925,2830.92,0.7512692307692308,1
Total,Females,EU,EU Average,2021,10530000,363031280,21801,176.41,0.7512307692307693,1
Total,Males,EU,EU Average,2021,10530000,363031280,396189,2786.09,0.7512307692307693,1
Total,Females,EU,EU Average,2023,10530000,365610272,23595,179.94,0.7508076923076923,1
Total,Males,EU,EU Average,2023,10530000,365610272,416229,2832.7,0.7508076923076923,1
Total,Total,EU,EU Average,2020,10530000,446870959,463376,3033.25,0.7439259259259259,1
Total,Females,EU,EU Average,2020,10530000,363710088,21263,171.25,0.7422692307692308,1
Total,Males,EU,EU Average,2020,10530000,363710088,382540,2790.67,0.7422692307692308,1
Total,Total,EU,EU Average,2019,10530000,446910453,496366,3172.01,0.7410185185185185,1
Total,Females,EU,EU Average,2019,10530000,363817491,23140,184.02,0.7394615384615384,1
Total,Males,EU,EU Average,2019,10530000,363817491,410094,2912.92,0.7394615384615384,1
Total,Total,EU,EU Average,2018,10530000,446329890,494351,3152.25,0.738111111111111,1
Total,Females,EU,EU Average,2015,10530000,443793218,25035,182.07,0.7372962962962963,1
Total,Males,EU,EU Average,2015,10530000,443793218,465413,3069.46,0.7372962962962963,1
Total,Total,EU,EU Average,2015,10530000,443793218,492798,3271.54,0.7372962962962963,1
Total,Females,EU,EU Average,2018,10530000,363424108,21681,174.22,0.7366538461538461,1
Total,Males,EU,EU Average,2018,10530000,363424108,394349,2778.05,0.7366538461538461,1
Total,Total,EU,EU Average,2016,10530000,433345230,484271,3155.71,0.7343461538461539,1
Total,Total,EU,EU Average,2017,10530000,443254672,494945,3127.22,0.7334999999999999,1
Total,Females,EU,EU Average,2016,10530000,350996561,20525,169.71,0.73308,1
Total,Males,EU,EU Average,2016,10530000,350996561,383971,2759.96,0.73308,1
Total,Females,EU,EU Average,2014,10530000,430397217,25252,167.97,0.732452,1
Total,Males,EU,EU Average,2014,10530000,430397217,468982,2902.88,0.732452,1
Total,Total,EU,EU Average,2014,10530000,431711762,499575, 116.48 ,0.7312692307692308,1
Total,Females,EU,EU Average,2017,10530000,355770225,21106,166.19,0.7291249999999999,1
Total,Males,EU,EU Average,2017,10530000,355770225,390967,2671.89,0.7291249999999999,1
Total,Females,FIN,Finland,2023,338455,5583911,225,4.03,0.863,0
Total,Males,FIN,Finland,2023,338455,5583911,2737,49.02,0.863,0
Total,Total,FIN,Finland,2023,338455,5583911,2962,53.05,0.863,0
Total,Females,FIN,Finland,2021,338455,5541017,211,3.81,0.861,0
Total,Males,FIN,Finland,2021,338455,5541017,2600,46.92,0.861,0
Total,Total,FIN,Finland,2021,338455,5541017,2811,50.73,0.861,0
Total,Females,FIN,Finland,2022,338455,5556106,208,3.74,0.86,0
Total,Males,FIN,Finland,2022,338455,5556106,2653,47.75,0.86,0
Total,Total,FIN,Finland,2022,338455,5556106,2861,51.49,0.86,0
Total,Females,FIN,Finland,2015,338455,5479531,237,4.33,0.85,0
Total,Males,FIN,Finland,2015,338455,5479531,2898,52.89,0.85,0
Total,Total,FIN,Finland,2015,338455,5479531,3135,57.21,0.85,0
Total,Females,FIN,Finland,2014,338455,5461512,240,4.39,0.8453,0
Total,Males,FIN,Finland,2014,338455,5461512,2908,53.25,0.8453,0
Total,Total,FIN,Finland,2014,338455,5461512,3148,57.64,0.8453,0
Total,Females,FIN,Finland,2016,338455,5495303,226,4.11,0.845,0
Total,Males,FIN,Finland,2016,338455,5495303,2930,53.32,0.845,0
Total,Total,FIN,Finland,2016,338455,5495303,3156,57.43,0.845,0
Total,Females,FIN,Finland,2020,338455,5529543,231,4.18,0.832,0
Total,Males,FIN,Finland,2020,338455,5529543,2520,45.57,0.832,0
Total,Total,FIN,Finland,2020,338455,5529543,2751,49.75,0.832,0
Total,Females,FIN,Finland,2019,338455,5521606,224,4.06,0.8265,0
